"user_id,""sb0"",""sb1"",""sb2"",""sb3"",""sb4"",""sb5"",""sb6"",""sb7"",""sb8"",""sb9"",""ms"",""regularf"",""final"",""certificate"",""gradepf"",""milestone"",""step"""
"61729,2013-06-05,2014-02-14 01:23:00,2014-08-10 18:53:01,2014-09-18 21:28:02,2014-10-24 04:47:03,NA,NA,NA,NA,2014-02-14 01:11:08,5,0,0,0,0,1,1"
"61729,2013-06-05,2014-02-14 01:23:00,2014-08-10 18:53:01,2014-09-18 21:28:02,2014-10-24 04:47:03,NA,NA,NA,NA,2014-02-14 01:11:08,5,0,0,0,0,2,3"
"61729,2013-06-05,2014-02-14 01:23:00,2014-08-10 18:53:01,2014-09-18 21:28:02,2014-10-24 04:47:03,NA,NA,NA,NA,2014-02-14 01:11:08,5,0,0,0,0,10,2"
"83613,2014-08-23,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-19 02:46:08,1,0,0,0,0,1,1"
"83613,2014-08-23,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-19 02:46:08,1,0,0,0,0,10,2"
"85583,2013-12-12,2014-03-31 10:33:00,NA,NA,NA,NA,NA,NA,NA,2014-03-31 10:30:08,2,0,0,0,0,1,1"
"85583,2013-12-12,2014-03-31 10:33:00,NA,NA,NA,NA,NA,NA,NA,2014-03-31 10:30:08,2,0,0,0,0,2,3"
"85583,2013-12-12,2014-03-31 10:33:00,NA,NA,NA,NA,NA,NA,NA,2014-03-31 10:30:08,2,0,0,0,0,10,2"
"123767,2014-05-18,2014-09-10 22:12:00,2014-09-17 00:43:01,2014-09-21 14:50:02,2014-10-06 12:29:03,2014-10-23 16:08:04,2014-11-16 18:20:05,2014-12-08 18:18:06,2014-12-14 18:46:07,2014-09-08 00:48:08,9,9,0,0,0,1,1"
"123767,2014-05-18,2014-09-10 22:12:00,2014-09-17 00:43:01,2014-09-21 14:50:02,2014-10-06 12:29:03,2014-10-23 16:08:04,2014-11-16 18:20:05,2014-12-08 18:18:06,2014-12-14 18:46:07,2014-09-08 00:48:08,9,9,0,0,0,2,3"
"123767,2014-05-18,2014-09-10 22:12:00,2014-09-17 00:43:01,2014-09-21 14:50:02,2014-10-06 12:29:03,2014-10-23 16:08:04,2014-11-16 18:20:05,2014-12-08 18:18:06,2014-12-14 18:46:07,2014-09-08 00:48:08,9,9,0,0,0,10,2"
"125341,2013-10-14,2014-08-09 11:47:00,NA,NA,NA,NA,NA,NA,NA,2014-08-09 11:45:08,2,0,0,0,0,1,1"
"125341,2013-10-14,2014-08-09 11:47:00,NA,NA,NA,NA,NA,NA,NA,2014-08-09 11:45:08,2,0,0,0,0,2,3"
"125341,2013-10-14,2014-08-09 11:47:00,NA,NA,NA,NA,NA,NA,NA,2014-08-09 11:45:08,2,0,0,0,0,10,2"
"125823,2013-07-29,2014-03-22 16:40:00,2014-02-17 18:23:01,NA,NA,NA,NA,NA,NA,2014-04-14 17:00:08,3,0,0,0,0,1,1"
"125823,2013-07-29,2014-03-22 16:40:00,2014-02-17 18:23:01,NA,NA,NA,NA,NA,NA,2014-04-14 17:00:08,3,0,0,0,0,2,3"
"125823,2013-07-29,2014-03-22 16:40:00,2014-02-17 18:23:01,NA,NA,NA,NA,NA,NA,2014-04-14 17:00:08,3,0,0,0,0,3,2"
"136717,2013-08-31,2014-11-25 07:22:00,2014-11-27 03:18:01,2014-11-28 16:17:02,2014-11-29 04:13:03,2014-11-30 20:08:04,2014-12-02 01:07:05,2014-12-06 15:46:06,2014-12-06 21:36:07,2014-11-25 06:35:08,9,9,1,1,1,1,1"
"136717,2013-08-31,2014-11-25 07:22:00,2014-11-27 03:18:01,2014-11-28 16:17:02,2014-11-29 04:13:03,2014-11-30 20:08:04,2014-12-02 01:07:05,2014-12-06 15:46:06,2014-12-06 21:36:07,2014-11-25 06:35:08,9,9,1,1,1,2,3"
"136717,2013-08-31,2014-11-25 07:22:00,2014-11-27 03:18:01,2014-11-28 16:17:02,2014-11-29 04:13:03,2014-11-30 20:08:04,2014-12-02 01:07:05,2014-12-06 15:46:06,2014-12-06 21:36:07,2014-11-25 06:35:08,9,9,1,1,1,10,2"
"143737,2013-07-16,NA,2014-07-25 03:16:01,2014-09-03 05:26:02,NA,NA,NA,NA,NA,2014-07-10 01:41:08,3,0,0,0,0,1,1"
"143737,2013-07-16,NA,2014-07-25 03:16:01,2014-09-03 05:26:02,NA,NA,NA,NA,NA,2014-07-10 01:41:08,3,0,0,0,0,3,3"
"143737,2013-07-16,NA,2014-07-25 03:16:01,2014-09-03 05:26:02,NA,NA,NA,NA,NA,2014-07-10 01:41:08,3,0,0,0,0,10,2"
"146175,2013-08-22,2014-02-05 19:27:00,2014-02-05 19:26:01,NA,NA,NA,NA,NA,NA,2014-01-21 21:01:08,3,0,0,0,0,1,1"
"146175,2013-08-22,2014-02-05 19:27:00,2014-02-05 19:26:01,NA,NA,NA,NA,NA,NA,2014-01-21 21:01:08,3,0,0,0,0,3,3"
"146175,2013-08-22,2014-02-05 19:27:00,2014-02-05 19:26:01,NA,NA,NA,NA,NA,NA,2014-01-21 21:01:08,3,0,0,0,0,10,2"
"153539,2013-08-14,2014-06-25 06:40:00,NA,NA,NA,NA,NA,NA,NA,2014-06-04 04:47:08,2,0,0,0,0,1,1"
"153539,2013-08-14,2014-06-25 06:40:00,NA,NA,NA,NA,NA,NA,NA,2014-06-04 04:47:08,2,0,0,0,0,2,3"
